,State,Place,CityFIPS,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
0,01,07000,0107000,"Birmingham city, Alabama",212295.0,35.9,31445.0,19650.0,62258.0,29.32617348500907,7.2526437268894695
1,01,35896,0135896,"Hoover city, Alabama",82264.0,36.7,75020.0,38457.0,5537.0,6.730769230769231,3.397597977243995
2,01,37000,0137000,"Huntsville city, Alabama",182317.0,36.7,48881.0,30916.0,29494.0,16.177317529358206,6.053193064826648
3,01,50000,0150000,"Mobile city, Alabama",195116.0,35.5,38644.0,23385.0,43928.0,22.51378667049345,6.267553660386642
4,01,51000,0151000,"Montgomery city, Alabama",204760.0,34.2,43702.0,24365.0,44774.0,21.866575503027935,4.366087126391873
5,01,77256,0177256,"Tuscaloosa city, Alabama",92461.0,27.6,38519.0,21511.0,21984.0,23.776511177685727,3.6772260736959366
6,02,03000,0203000,"Anchorage municipality, Alaska",295237.0,32.8,77454.0,36214.0,22874.0,7.747673902661252,3.991708356337451
7,04,04720,0404720,"Avondale city, Arizona",76872.0,29.7,55506.0,20635.0,13094.0,17.033510250806536,5.592413362472682
8,04,12000,0412000,"Chandler city, Arizona",241096.0,34.0,71083.0,32185.0,21914.0,9.089325413942994,4.1792481003417725
9,04,27400,0427400,"Gilbert town, Arizona",215683.0,32.4,80355.0,31673.0,14398.0,6.675537710436149,3.4360612565663495
10,04,27820,0427820,"Glendale city, Arizona",230047.0,32.8,47474.0,22071.0,46571.0,20.2441240268293,6.077888431494434
11,04,46000,0446000,"Mesa city, Arizona",447002.0,35.6,48547.0,24155.0,69449.0,15.536619522955155,4.708703764188974
12,04,54050,0454050,"Peoria city, Arizona",157152.0,38.5,62013.0,28751.0,15451.0,9.831882508654042,4.172393606190186
13,04,55000,0455000,"Phoenix city, Arizona",1473639.0,32.6,47139.0,23812.0,331487.0,22.494450811901693,5.249861058237466
14,04,65000,0465000,"Scottsdale city, Arizona",221283.0,45.4,72154.0,50531.0,19235.0,8.692488803929809,3.5113406813898944
15,04,71510,0471510,"Surprise city, Arizona",118784.0,37.0,58455.0,24612.0,10910.0,9.184738685344827,4.037580818965517
16,04,73000,0473000,"Tempe city, Arizona",164742.0,28.3,47941.0,26227.0,34433.0,20.901166672736764,5.594808852630173
17,04,77000,0477000,"Tucson city, Arizona",523278.0,33.0,37032.0,20314.0,126367.0,24.14911385535031,6.0084696853297865
18,04,85540,0485540,"Yuma city, Arizona",92492.0,30.2,44220.0,20617.0,14487.0,15.662976257406045,5.108549928642478
19,05,23290,0523290,"Fayetteville city, Arkansas",75602.0,27.6,36314.0,25503.0,17687.0,23.394883733234572,4.388772783788789
20,05,24550,0524550,"Fort Smith city, Arkansas",86924.0,35.3,36618.0,22704.0,21323.0,24.530624453545627,3.1372233215222494
21,05,35710,0535710,"Jonesboro city, Arkansas",69049.0,30.9,40046.0,24007.0,15945.0,23.09229677475416,5.015279004764732
22,05,41000,0541000,"Little Rock city, Arkansas",195092.0,35.3,44896.0,29294.0,35766.0,18.332889098476617,5.081705041723905
23,05,66080,0566080,"Springdale city, Arkansas",72070.0,29.4,41281.0,18390.0,16901.0,23.450811710836685,3.6658803940613294
24,06,00562,0600562,"Alameda city, California",74818.0,40.6,74606.0,41340.0,7592.0,10.147290758908284,4.9119195915421425
25,06,00884,0600884,"Alhambra city, California",83799.0,39.8,54148.0,25703.0,11565.0,13.800880678767049,4.071647633026647
26,06,02000,0602000,"Anaheim city, California",340081.0,32.8,59165.0,23400.0,54093.0,15.905916531649813,6.0591447331665105
27,06,02252,0602252,"Antioch city, California",104035.0,33.8,65254.0,24678.0,15335.0,14.74023165280915,6.964002499158937
28,06,02364,0602364,"Apple Valley town, California",69785.0,36.6,48432.0,22941.0,13990.0,20.04728809916171,6.297915024718779
29,06,03526,0603526,"Bakersfield city, California",352918.0,30.1,56204.0,23316.0,71445.0,20.244079361211387,5.739010195002805
30,06,03666,0603666,"Baldwin Park city, California",75933.0,31.0,51153.0,15314.0,13164.0,17.336335980403778,7.177380058735991
31,06,04982,0604982,"Bellflower city, California",76989.0,32.0,49637.0,20397.0,13075.0,16.982945615607424,5.170868565639247
32,06,06000,0606000,"Berkeley city, California",114037.0,31.8,63312.0,41308.0,19464.0,17.068144549576015,4.466971246174487
33,06,08786,0608786,"Buena Park city, California",81522.0,35.5,66371.0,23623.0,9746.0,11.955055077157086,4.017320477907804
34,06,08954,0608954,"Burbank city, California",103850.0,38.6,66240.0,33663.0,9710.0,9.350024073182475,5.3220991815117955
