,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State_x,City,CityFIPS,State_y,Place,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CategoryID,MeasureId,Short_Question_Text,Count_of_Individuals
0,63.0,11.0,83.0,42.0,104.0,Alabama,Birmingham,107000.0,01,07000,"Birmingham city, Alabama",212295.0,35.9,31445.0,19650.0,62258.0,29.32617348500907,7.2526437268894695,2016.0,AL,Alabama,Birmingham,City,BRFSS,Prevention,0107000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,19.5,19.1,19.9,212237.0,"(33.5275663773, -86.7988174678)",PREVENT,ACCESS2,Health Insurance,41386.215000000004
28,63.0,11.0,83.0,42.0,104.0,Alabama,Hoover,135896.0,01,35896,"Hoover city, Alabama",82264.0,36.7,75020.0,38457.0,5537.0,6.730769230769231,3.397597977243995,2016.0,AL,Alabama,Hoover,City,BRFSS,Prevention,0135896,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.6,10.1,11.1,81619.0,"(33.3767602729, -86.8051937568)",PREVENT,ACCESS2,Health Insurance,8651.614
56,59.0,5.0,81.0,37.0,102.0,Alabama,Huntsville,137000.0,01,37000,"Huntsville city, Alabama",182317.0,36.7,48881.0,30916.0,29494.0,16.177317529358206,6.053193064826648,2016.0,AL,Alabama,Huntsville,City,BRFSS,Prevention,0137000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.4,15.0,15.8,180105.0,"(34.6989692671, -86.6387042882)",PREVENT,ACCESS2,Health Insurance,27736.17
84,67.0,18.0,84.0,48.0,102.0,Alabama,Mobile,150000.0,01,50000,"Mobile city, Alabama",195116.0,35.5,38644.0,23385.0,43928.0,22.51378667049345,6.267553660386642,2016.0,AL,Alabama,Mobile,City,BRFSS,Prevention,0150000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.4,17.0,17.8,195111.0,"(30.6776248648, -88.1184482714)",PREVENT,ACCESS2,Health Insurance,33949.314
112,64.0,16.0,85.0,45.0,102.0,Alabama,Montgomery,151000.0,01,51000,"Montgomery city, Alabama",204760.0,34.2,43702.0,24365.0,44774.0,21.866575503027935,4.366087126391873,2016.0,AL,Alabama,Montgomery,City,BRFSS,Prevention,0151000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.0,17.5,18.5,205764.0,"(32.3472645333, -86.2677059552)",PREVENT,ACCESS2,Health Insurance,37037.52
140,63.0,1.0,85.0,42.0,103.0,Alabama,Tuscaloosa,177256.0,01,77256,"Tuscaloosa city, Alabama",92461.0,27.6,38519.0,21511.0,21984.0,23.776511177685727,3.6772260736959366,2016.0,AL,Alabama,Tuscaloosa,City,BRFSS,Prevention,0177256,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.8,16.2,17.3,90468.0,"(33.2336083951, -87.5268004073)",PREVENT,ACCESS2,Health Insurance,15198.624000000002
168,39.0,-24.0,57.0,19.0,86.0,Alaska,Anchorage,203000.0,02,03000,"Anchorage municipality, Alaska",295237.0,32.8,77454.0,36214.0,22874.0,7.747673902661252,3.991708356337451,2016.0,AK,Alaska,Anchorage,City,BRFSS,Prevention,0203000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,12.6,12.4,12.9,291826.0,"(61.149868731, -149.111113424)",PREVENT,ACCESS2,Health Insurance,36770.076
196,79.0,23.0,97.0,54.0,131.0,Arizona,Avondale,404720.0,04,04720,"Avondale city, Arizona",76872.0,29.7,55506.0,20635.0,13094.0,17.033510250806536,5.592413362472682,2016.0,AZ,Arizona,Avondale,City,BRFSS,Prevention,0404720,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,18.8,18.2,19.4,76238.0,"(33.3858367405, -112.323626619)",PREVENT,ACCESS2,Health Insurance,14332.744
224,77.0,21.0,95.0,51.0,117.0,Arizona,Chandler,412000.0,04,12000,"Chandler city, Arizona",241096.0,34.0,71083.0,32185.0,21914.0,9.089325413942994,4.1792481003417725,2016.0,AZ,Arizona,Chandler,City,BRFSS,Prevention,0412000,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.0,10.7,11.3,236123.0,"(33.28318981, -111.852210033)",PREVENT,ACCESS2,Health Insurance,25973.53
252,74.0,25.0,95.0,51.0,120.0,Arizona,Gilbert,427400.0,04,27400,"Gilbert town, Arizona",215683.0,32.4,80355.0,31673.0,14398.0,6.675537710436149,3.4360612565663495,2016.0,AZ,Arizona,Gilbert,City,BRFSS,Prevention,0427400,Current lack of health insurance among adults aged 18â64 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.9,8.7,9.2,208453.0,"(33.310149392, -111.746237467)",PREVENT,ACCESS2,Health Insurance,18552.317000000003
