,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State_x,City,CityFIPS,State_y,Place,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
0,63.0,11.0,83.0,42.0,104.0,Alabama,Birmingham,107000.0,01,07000,"Birmingham city, Alabama",212295.0,35.9,31445.0,19650.0,62258.0,29.32617348500907,7.2526437268894695
1,63.0,11.0,83.0,42.0,104.0,Alabama,Hoover,135896.0,01,35896,"Hoover city, Alabama",82264.0,36.7,75020.0,38457.0,5537.0,6.730769230769231,3.397597977243995
2,59.0,5.0,81.0,37.0,102.0,Alabama,Huntsville,137000.0,01,37000,"Huntsville city, Alabama",182317.0,36.7,48881.0,30916.0,29494.0,16.177317529358206,6.053193064826648
3,67.0,18.0,84.0,48.0,102.0,Alabama,Mobile,150000.0,01,50000,"Mobile city, Alabama",195116.0,35.5,38644.0,23385.0,43928.0,22.51378667049345,6.267553660386642
4,64.0,16.0,85.0,45.0,102.0,Alabama,Montgomery,151000.0,01,51000,"Montgomery city, Alabama",204760.0,34.2,43702.0,24365.0,44774.0,21.866575503027935,4.366087126391873
5,63.0,1.0,85.0,42.0,103.0,Alabama,Tuscaloosa,177256.0,01,77256,"Tuscaloosa city, Alabama",92461.0,27.6,38519.0,21511.0,21984.0,23.776511177685727,3.6772260736959366
6,39.0,-24.0,57.0,19.0,86.0,Alaska,Anchorage,203000.0,02,03000,"Anchorage municipality, Alaska",295237.0,32.8,77454.0,36214.0,22874.0,7.747673902661252,3.991708356337451
7,79.0,23.0,97.0,54.0,131.0,Arizona,Avondale,404720.0,04,04720,"Avondale city, Arizona",76872.0,29.7,55506.0,20635.0,13094.0,17.033510250806536,5.592413362472682
8,77.0,21.0,95.0,51.0,117.0,Arizona,Chandler,412000.0,04,12000,"Chandler city, Arizona",241096.0,34.0,71083.0,32185.0,21914.0,9.089325413942994,4.1792481003417725
9,74.0,25.0,95.0,51.0,120.0,Arizona,Gilbert,427400.0,04,27400,"Gilbert town, Arizona",215683.0,32.4,80355.0,31673.0,14398.0,6.675537710436149,3.4360612565663495
