,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State,City,CityFIPS
56,63.0,11.0,83.0,42.0,104.0,Alabama,Birmingham,107000.0
2851,63.0,11.0,83.0,42.0,104.0,Alabama,Hoover,135896.0
3713,59.0,5.0,81.0,37.0,102.0,Alabama,Huntsville,137000.0
5549,67.0,18.0,84.0,48.0,102.0,Alabama,Mobile,150000.0
7779,64.0,16.0,85.0,45.0,102.0,Alabama,Montgomery,151000.0
9542,63.0,1.0,85.0,42.0,103.0,Alabama,Tuscaloosa,177256.0
10650,39.0,-24.0,57.0,19.0,86.0,Alaska,Anchorage,203000.0
12246,79.0,23.0,97.0,54.0,131.0,Arizona,Avondale,404720.0
12945,77.0,21.0,95.0,51.0,117.0,Arizona,Chandler,412000.0
14753,74.0,25.0,95.0,51.0,120.0,Arizona,Gilbert,427400.0
16092,78.0,28.0,97.0,53.0,120.0,Arizona,Glendale,427820.0
17898,76.0,25.0,96.0,53.0,117.0,Arizona,Mesa,446000.0
21426,78.0,28.0,97.0,53.0,120.0,Arizona,Peoria,454050.0
22839,74.0,25.0,94.0,53.0,117.0,Arizona,Phoenix,455000.0
32936,76.0,27.0,95.0,54.0,118.0,Arizona,Scottsdale,465000.0
34780,75.0,25.0,95.0,52.0,118.0,Arizona,Surprise,471510.0
35697,78.0,30.0,97.0,56.0,119.0,Arizona,Tempe,473000.0
36844,71.0,17.0,93.0,48.0,113.0,Arizona,Tucson,477000.0
40980,76.0,28.0,99.0,51.0,118.0,Arizona,Yuma,485540.0
41923,56.0,-18.0,80.0,33.0,106.0,Arkansas,Fayetteville,523290.0
42450,62.0,3.0,86.0,40.0,113.0,Arkansas,Fort Smith,524550.0
43094,59.0,5.0,82.0,39.0,104.0,Arkansas,Jonesboro,535710.0
43588,62.0,10.0,84.0,42.0,108.0,Arkansas,Little Rock,541000.0
45098,61.0,-4.0,83.0,35.0,109.0,Arkansas,Springdale,566080.0
45602,58.0,30.0,78.0,45.0,101.0,California,Alameda,600562.0
46106,65.0,36.0,86.0,52.0,112.0,California,Alhambra,600884.0
46722,66.0,32.0,90.0,51.0,111.0,California,Anaheim,602000.0
48955,60.0,24.0,86.0,42.0,109.0,California,Antioch,602252.0
49571,65.0,12.0,89.0,40.0,114.0,California,Apple Valley,602364.0
49991,69.0,25.0,91.0,47.0,111.0,California,Bakersfield,603526.0
52315,65.0,36.0,86.0,52.0,112.0,California,Baldwin Park,603666.0
52873,65.0,35.0,88.0,51.0,109.0,California,Bellflower,604982.0
53433,58.0,30.0,78.0,45.0,101.0,California,Berkeley,606000.0
54413,66.0,32.0,90.0,51.0,111.0,California,Buena Park,608786.0
54973,66.0,31.0,90.0,49.0,112.0,California,Burbank,608954.0
55673,63.0,32.0,80.0,52.0,103.0,California,Carlsbad,611194.0
56311,65.0,35.0,88.0,51.0,109.0,California,Carson,611530.0
56926,65.0,19.0,85.0,44.0,111.0,California,Chico,613014.0
57649,65.0,23.0,92.0,45.0,115.0,California,Chino,613210.0
58209,65.0,23.0,92.0,45.0,115.0,California,Chino Hills,613214.0
58601,62.0,30.0,84.0,47.0,106.0,California,Chula Vista,613392.0
59974,63.0,23.0,86.0,42.0,108.0,California,Citrus Heights,613588.0
60673,68.0,27.0,90.0,47.0,112.0,California,Clovis,614218.0
61399,65.0,35.0,88.0,51.0,109.0,California,Compton,615044.0
62265,58.0,30.0,78.0,45.0,101.0,California,Concord,616000.0
63159,63.0,20.0,92.0,38.0,110.0,California,Corona,616350.0
64195,65.0,35.0,85.0,53.0,107.0,California,Costa Mesa,616532.0
64973,58.0,34.0,78.0,47.0,98.0,California,Daly City,617918.0
65589,65.0,35.0,88.0,51.0,109.0,California,Downey,619766.0
